id,label
1,"neutral,neutral"
2,"positive,positive"
3,"neutral,neutral"
4,"positive,positive"
5,"positive,positive"
6,"positive,positive"
7,"neutral,neutral"
8,"positive,positive"
9,"neutral,neutral"
10,"negative,negative"
11,"negative,negative"
12,"neutral,neutral"
13,"neutral,neutral"
14,"neutral,neutral"
15,"positive,positive"
16,"positive,positive"
17,"neutral,neutral"
18,"neutral,neutral"
19,"positive,positive"
20,"neutral,neutral"
21,"neutral,neutral"
22,"neutral,neutral"
23,"negative,negative"
24,"negative,negative"
25,"neutral,neutral"
26,"positive,positive"
27,"positive,positive"
28,"neutral,neutral"
29,"positive,positive"
30,"neutral,neutral"
31,"negative,negative"
32,"neutral,neutral"
33,"negative,negative"
34,"negative,negative"
35,"neutral,neutral"
36,"negative,negative"
37,"neutral,neutral"
38,"positive,positive"
39,"positive,positive"
40,"positive,positive"
41,"positive,positive"
42,"positive,positive"
43,"positive,positive"
44,"neutral,neutral"
45,"neutral,neutral"
46,"positive,positive"
47,"neutral,neutral"
48,"positive,positive"
49,"neutral,neutral"
50,"neutral,neutral"
51,"positive,positive"
52,"neutral,neutral"
53,"neutral,neutral"
54,"positive,positive"
55,"positive,positive"
56,"positive,positive"
57,"negative,negative"
58,"neutral,neutral"
59,"neutral,neutral"
60,"positive,positive"
61,"positive,positive"
62,"neutral,neutral"
63,"neutral,neutral"
64,"neutral,neutral"
65,"neutral,neutral"
66,"neutral,neutral"
67,"negative,negative"
68,"neutral,neutral"
69,"neutral,neutral"
70,"positive,positive"
71,"positive,positive"
72,"positive,positive"
73,"neutral,neutral"
74,"positive,positive"
75,"positive,positive"
76,"positive,positive"
77,"neutral,neutral"
78,"positive,positive"
79,"neutral,neutral"
80,"positive,positive"
81,"positive,positive"
82,"negative,negative"
83,"negative,negative"
84,"neutral,neutral"
85,"negative,negative"
86,"positive,positive"
87,"negative,negative"
88,"positive,positive"
89,"negative,negative"
90,"positive,positive"
91,"negative,negative"
92,"neutral,neutral"
93,"negative,negative"
94,"negative,negative"
95,"neutral,neutral"
96,"positive,positive"
97,"neutral,neutral"
98,"positive,positive"
99,"positive,positive"
100,"neutral,neutral"
101,"negative,negative"
102,"negative,negative"
103,"positive,positive"
104,"negative,negative"
105,"neutral,neutral"
106,"neutral,neutral"
107,"positive,positive"
108,"neutral,neutral"
109,"positive,positive"
110,"positive,positive"
111,"positive,positive"
112,"negative,negative"
113,"negative,negative"
114,"positive,positive"
115,"positive,positive"
116,"positive,positive"
117,"positive,positive"
