id,label
1,"positive,positive"
2,"positive,positive"
3,"positive,positive"
4,"positive,positive"
5,"positive,positive"
6,"positive,positive"
7,"positive,positive"
8,"positive,positive"
9,"positive,positive"
10,"negative,negative"
11,"positive,positive"
12,"positive,positive"
13,"positive,positive"
14,"positive,positive"
15,"positive,positive"
16,"positive,positive"
17,"positive,positive"
18,"positive,positive"
19,"negative,negative"
20,"positive,positive"
21,"positive,positive"
22,"negative,negative"
23,"positive,positive"
24,"neutral,neutral"
25,"neutral,neutral"
26,"neutral,neutral"
27,"neutral,neutral"
28,"positive,positive"
29,"positive,positive"
30,"negative,negative"
31,"positive,positive"
32,"positive,positive"
33,"neutral,neutral"
34,"positive,positive"
35,"positive,positive"
36,"positive,positive"
37,"positive,positive"
38,"neutral,neutral"
39,"positive,positive"
40,"negative,negative"
41,"positive,positive"
42,"positive,positive"
43,"positive,positive"
44,"positive,positive"
45,"neutral,neutral"
46,"positive,positive"
47,"positive,positive"
48,"positive,positive"
49,"positive,positive"
50,"negative,negative"
51,"positive,positive"
52,"positive,positive"
53,"negative,negative"
54,"neutral,neutral"
55,"positive,positive"
56,"positive,positive"
57,"positive,positive"
58,"positive,positive"
59,"positive,positive"
60,"positive,positive"
61,"positive,positive"
62,"negative,negative"
63,"positive,positive"
64,"positive,positive"
65,"positive,positive"
66,"positive,positive"
67,"negative,negative"
68,"positive,positive"
69,"positive,positive"
70,"negative,negative"
71,"neutral,neutral"
72,"positive,positive"
73,"negative,negative"
74,"positive,positive"
75,"positive,positive"
76,"positive,positive"
77,"positive,positive"
78,"negative,negative"
79,"positive,positive"
80,"positive,positive"
81,"positive,positive"
82,"positive,positive"
83,"neutral,neutral"
84,"positive,positive"
85,"negative,negative"
86,"positive,positive"
87,"positive,positive"
88,"positive,positive"
89,"positive,positive"
90,"negative,negative"
91,"positive,positive"
92,"positive,positive"
93,"positive,positive"
94,"negative,negative"
95,"positive,positive"
96,"positive,positive"
97,"positive,positive"
98,"positive,positive"
99,"positive,positive"
100,"positive,positive"
101,"neutral,neutral"
102,"neutral,neutral"
103,"neutral,neutral"
104,"positive,positive"
105,"neutral,neutral"
106,"positive,positive"
107,"negative,negative"
108,"positive,positive"
109,"positive,positive"
110,"positive,positive"
111,"positive,positive"
112,"positive,positive"
113,"neutral,neutral"
114,"neutral,neutral"
115,"negative,negative"
116,"negative,negative"
117,"positive,positive"
118,"positive,positive"
119,"positive,positive"
120,"positive,positive"
121,"positive,positive"
122,"positive,positive"
123,"positive,positive"
124,"positive,positive"
125,"positive,positive"
126,"positive,positive"
127,"negative,negative"
